Type	FSWP-26
Version	3.01
Date	23.May 2025
VSupply	ON
Mode	Voltage
11.6028470993	-52.5595359802
11.6430301666	-52.5595359802
11.6833553314	-52.5595359802
11.7238168716	-52.5595359802
11.7644214630	-52.5595359802
11.8051643372	-52.5689239502
11.8460512161	-52.6498527527
11.8870754242	-52.6588592529
11.9282464981	-52.6645889282
11.9695558548	-52.6981315613
12.0110120773	-52.7219429016
12.0526084900	-52.7315406799
12.0943517685	-52.7541503906
12.1362361908	-52.7610435486
12.1782703400	-52.8070755005
12.2204456329	-52.8115081787
12.2627706528	-52.8137817383
12.3052387238	-52.8292846680
12.3478574753	-52.8767509460
12.3906202316	-52.9535102844
12.4335346222	-52.9916648865
12.4765939713	-53.0188140869
12.5198059082	-53.1339683533
12.5631647110	-53.2068710327
12.6066761017	-53.2616996765
12.6503391266	-53.2999610901
12.6941490173	-53.3923759460
12.7381153107	-53.4203491211
12.7822294235	-53.4676933289
12.8264999390	-53.5101890564
12.8709201813	-53.6054420471
12.9154977798	-53.7107391357
12.9602270126	-53.7294273376
13.0051136017	-53.7460327148
13.0501527786	-53.7573890686
13.0953512192	-53.7590179443
13.1407032013	-53.7624511719
13.1862154007	-53.8452072144
13.2318820953	-53.9787139893
13.2777099609	-54.1789093018
13.3236923218	-54.4043769836
13.3698387146	-54.6172370911
13.4161405563	-54.6941223145
13.4626073837	-54.7162170410
13.5092306137	-54.7692413330
13.5560188293	-54.7971115112
13.6029663086	-54.8259124756
13.6500797272	-54.8345451355
13.6973524094	-54.8548851013
