Type	FSWP-26
Version	3.01
Date	17.Jun 2025
VSupply	ON
Mode	Voltage
12.2204456329	-97.0487518311
12.2627706528	-96.9197082520
12.3052387238	-96.8440780640
12.3478574753	-96.8097457886
12.3906202316	-96.8373184204
12.4335346222	-96.9233627319
12.4765939713	-97.0320892334
12.5198059082	-97.1608810425
12.5631647110	-97.2925033569
12.6066761017	-97.4209213257
12.6503391266	-97.5443191528
12.6941490173	-97.6407852173
12.7381153107	-97.7001266479
12.7822294235	-97.7180557251
12.8264999390	-97.6412963867
12.8709201813	-97.5216293335
12.9154977798	-97.3805389404
12.9602270126	-97.2532196045
13.0051136017	-97.1926269531
13.0501527786	-97.1854553223
13.0953512192	-97.2381286621
13.1407032013	-97.3432006836
13.1862154007	-97.4494171143
13.2318820953	-97.5474548340
13.2777099609	-97.6083755493
13.3236923218	-97.6203460693
13.3698387146	-97.5967254639
13.4161405563	-97.5398864746
13.4626073837	-97.4651641846
13.5092306137	-97.4060058594
13.5560188293	-97.3647537231
13.6029663086	-97.3468017578
13.6500797272	-97.3369903564
